ED_COUNTER,ED_INTERPOLATED,ED_RAW_CQ,ED_AF3,ED_F7,ED_F3,ED_FC5,ED_T7,ED_P7,ED_O1,ED_O2,ED_P8,ED_T8,ED_FC6,ED_F4,ED_F8,ED_AF4,ED_GYROX,ED_GYROY,ED_TIMESTAMP,ED_ES_TIMESTAMP,ED_FUNC_ID,ED_FUNC_VALUE,ED_MARKER,ED_SYNC_SIGNAL,
122,122,0,643,4248.205128,647.692308,4158.974359,4071.282051,647.692308,647.692308,647.692308,4108.205128,4195.384615,4030.25641,646.153846,646.153846,4148.717949,3462.051282,1697,1691,3159.269,0.031277,0,0,0,0
123,0,417,4251.282051,647.692308,4156.923077,4068.717949,647.692308,647.692308,647.692308,4104.102564,4200.512821,4036.410256,646.153846,646.153846,4151.794872,3462.564103,1698,1694,3159.275,0.031277,0,0,0,0,
124,0,0,4257.948718,647.692308,4168.717949,4086.666667,647.692308,647.692308,647.692308,4115.897436,4231.282051,4069.230769,646.153846,646.153846,4170.25641,3475.384615,1700,1691,3159.281,0.031277,0,0,0,0,
125,0,0,4264.615385,647.692308,4176.923077,4114.358974,647.692308,647.692308,647.692308,4147.179487,4271.794872,4114.871795,646.153846,646.153846,4192.307692,3483.076923,1698,1692,3159.289,0.031277,0,0,0,0,
"17:12:41	",126,0,643,4261.538462,647.692308,4167.179487,4120,647.692308,647.692308,647.692308,4150.769231,4269.230769,4112.820513,646.153846,646.153846,4191.794872,3478.461538,1700,1692,3159.301,0.031277,0,0,0,0
127,0,417,4261.025641,647.692308,4158.461538,4114.358974,647.692308,647.692308,647.692308,4137.435897,4257.948718,4098.974359,646.153846,646.153846,4188.717949,3480.512821,1699,1692,3159.306,0.031277,0,0,0,0,
128,0,0,4273.333333,647.692308,4162.051282,4118.461538,647.692308,647.692308,647.692308,4154.871795,4279.487179,4122.051282,646.153846,646.153846,4203.076923,3491.282051,1699,1694,3159.313,0.031277,0,0,0,0,
0,0,511,4273.846154,647.692308,4163.076923,4120,647.692308,647.692308,647.692308,4168.205128,4284.615385,4130.25641,646.153846,646.153846,4206.666667,3493.333333,1700,1694,3159.321,0.031277,0,0,0,0,
1,0,356,4253.846154,647.692308,4162.051282,4109.230769,647.692308,647.692308,647.692308,4137.435897,4243.589744,4089.230769,646.153846,646.153846,4186.153846,3481.538462,1700,1695,3159.331,0.031277,0,0,0,0,
2,0,525,4249.74359,647.692308,4160.512821,4104.102564,647.692308,647.692308,647.692308,4107.179487,4210.769231,4050.25641,646.153846,646.153846,4169.74359,3471.282051,1699,1694,3159.336,0.031277,0,0,0,0,
3,0,0,4261.538462,647.692308,4154.871795,4110.25641,647.692308,647.692308,647.692308,4120.512821,4221.025641,4056.923077,646.153846,646.153846,4172.307692,3474.358974,1699,1695,3159.344,0.031277,0,0,0,0,
4,0,0,4263.076923,647.692308,4151.282051,4110.25641,647.692308,647.692308,647.692308,4144.102564,4242.051282,4081.538462,646.153846,646.153846,4181.025641,3478.461538,1699,1694,3159.353,0.031277,0,0,0,0,
"17:12:41	",5,0,0,4263.076923,647.692308,4149.230769,4109.74359,647.692308,647.692308,647.692308,4139.487179,4234.358974,4075.384615,646.153846,646.153846,4177.435897,3474.358974,1697,1695,3159.363,0.031277,0,0,0,0
6,0,0,4264.102564,647.692308,4150.769231,4114.358974,647.692308,647.692308,647.692308,4129.74359,4221.025641,4058.974359,646.153846,646.153846,4171.794872,3470.769231,1698,1695,3159.368,0.031277,0,0,0,0,
7,0,754,4260.512821,647.692308,4156.923077,4114.871795,647.692308,647.692308,647.692308,4130.769231,4221.538462,4062.564103,646.153846,646.153846,4171.794872,3470.769231,1697,1694,3159.378,0.031277,0,0,0,0,
8,0,1104,4264.615385,647.692308,4161.538462,4114.358974,647.692308,647.692308,647.692308,4135.897436,4230.769231,4075.384615,646.153846,646.153846,4176.410256,3473.333333,1698,1694,3159.384,0.031277,0,0,0,0,
"17:12:41	",9,0,1174,4260,647.692308,4167.179487,4113.846154,647.692308,647.692308,647.692308,4133.333333,4230.769231,4071.794872,646.153846,646.153846,4176.410256,3474.871795,1698,1693,3159.394,0.031277,0,0,0,0
