Delta,Theta,Alpha ,Beta,Gamma
0.009039,0.018683,0.049208,2.174626,14.962088
0.178928,0.232502,0.123535,22.730989,15.211708
0.913149,0.394298,0.12666,21.946346,15.215154
2.363326,0.383249,1.796337,23.542629,17.987867
4.628334,0.404798,2.627396,22.89697,15.101638
7.038277,0.425031,2.659241,21.858427,15.227848
8.395434,4.037312,3.547789,21.437468,15.287477
9.015111,6.547427,8.47914,21.268964,15.32519
9.346142,6.609588,8.005868,21.215808,15.310559
9.642959,6.460698,7.938151,21.370344,15.251919
9.97598,6.264338,8.945051,21.734022,15.180782
10.365127,6.183792,8.786597,22.161485,15.125366
10.572064,8.316222,8.894328,22.330733,15.107536
10.821111,11.178798,8.305453,22.30368,15.115907
10.933682,10.745382,7.354774,22.269811,15.11733
11.064108,10.021856,7.393886,22.325596,15.106353
11.0783,8.922603,8.503494,22.434158,15.082963
10.912086,9.123486,9.211532,22.649673,15.043962
10.945846,8.794152,9.640754,23.057077,14.983934
10.792232,8.591664,10.039782,23.503055,15.954273
10.574098,8.59092,10.318032,23.770763,16.236131
10.644461,8.38371,9.629332,23.758523,15.444532
10.348917,8.029513,10.472209,23.615574,14.949088
10.649838,8.235827,8.867057,23.46592,14.992017
10.853074,7.847283,9.069766,23.34174,15.025746
10.722772,8.061682,8.831753,23.242054,15.050105
10.709551,7.865016,9.504467,23.172021,15.064769
10.88819,7.825708,9.340708,23.124134,15.071323
10.911201,8.016327,9.505981,23.085405,15.072845
11.589979,8.077809,9.790944,23.054374,15.071011
11.846437,8.266946,10.133908,23.039085,15.06657
12.874621,8.372564,10.246136,23.04368,15.060741
13.283247,8.375395,10.381992,23.061425,15.055257
13.879947,8.352505,10.42984,23.085214,15.051432
13.725854,8.450039,10.379594,23.11329,15.05039
14.028894,8.255803,10.266235,23.152402,15.052059
13.701783,8.23427,10.067092,23.207254,15.054838
14.594969,8.192137,9.912292,23.27588,15.057812
14.0165,8.026292,9.723852,23.351155,15.060608
15.274426,7.953616,9.569856,23.412483,15.063195
14.090347,8.0105,9.54872,23.427525,15.065881
15.177264,8.185279,9.643894,23.369796,15.068376
12.812521,7.962556,9.99201,23.256797,15.07002
13.821426,8.525174,10.70772,23.133286,15.070679
13.070704,8.531968,10.34493,23.023081,15.070192
13.002328,8.751855,10.210502,22.932385,15.068985
13.180146,9.114866,10.340735,22.859015,15.067496
14.594026,8.99284,10.923214,22.799757,15.065465
13.783743,8.989362,11.318564,22.752592,15.062775
13.908078,8.913398,11.610947,22.717153,15.059148
13.999371,9.231652,12.169154,22.694287,15.054629
14.296824,9.142003,11.676114,22.68539,15.049477
14.948746,8.916748,12.156034,22.690854,15.043637
14.652814,8.54761,12.806994,22.709684,15.036985
14.867981,8.635834,12.494432,22.740181,15.029641
14.839579,8.646164,12.220389,22.779994,15.021752
15.314377,8.424305,12.104011,22.82678,15.042669
14.537231,7.751328,12.4192,22.878915,15.135734
14.739888,7.899681,11.762552,22.935236,15.227828
14.436774,7.842126,11.519077,22.995006,15.326895
14.878603,7.705326,11.275413,23.057842,15.437393
14.216556,7.335812,10.989668,23.123242,15.554444
